case,input_path,requested_pipeline,selected_pipeline,status,fallback_reason,output_path,candidate_path,baseline_path,candidate_nodes,candidate_levels,baseline_nodes,baseline_levels,selected_nodes,selected_levels,original_nodes,original_levels,opt_returncode,cec_returncode,cec_pass,opt_runtime_sec,cec_runtime_sec,stats_runtime_sec,peak_mem_mb,log_dir
tc_public_23,data\tc_public\tc_public_23\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_23\output.blif,results\portfolio\aig_fast\tc_public_23\output.candidate.blif,results\baseline\tc_public_23\output.blif,1530,16,1530,16,1530,16,1530,263,0,0,True,0.10424300003796816,0.06536410003900528,0.12910970009397715,11.26953125,results\portfolio\aig_fast\tc_public_23\logs
tc_public_24,data\tc_public\tc_public_24\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_24\output.blif,results\portfolio\aig_fast\tc_public_24\output.candidate.blif,results\baseline\tc_public_24\output.blif,215,8,215,8,215,8,223,15,0,0,True,0.08509279997088015,0.06410570000298321,0.1278228999581188,10.234375,results\portfolio\aig_fast\tc_public_24\logs
tc_public_25,data\tc_public\tc_public_25\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_25\output.blif,results\portfolio\aig_fast\tc_public_25\output.candidate.blif,results\baseline\tc_public_25\output.blif,32,8,26,4,26,4,101,14,0,0,True,0.08305099990684539,0.06455670006107539,0.13172179996035993,10.203125,results\portfolio\aig_fast\tc_public_25\logs
tc_public_26,data\tc_public\tc_public_26\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_26\output.blif,results\portfolio\aig_fast\tc_public_26\output.candidate.blif,results\baseline\tc_public_26\output.blif,1064,10,1064,10,1064,10,1064,32,0,0,True,0.1025817000772804,0.08600920008029789,0.14526340004522353,11.4609375,results\portfolio\aig_fast\tc_public_26\logs
tc_public_27,data\tc_public\tc_public_27\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_27\output.blif,results\portfolio\aig_fast\tc_public_27\output.candidate.blif,results\baseline\tc_public_27\output.blif,384,7,376,7,376,7,576,20,0,0,True,0.08374340005684644,0.06391500006429851,0.11218449997249991,10.50390625,results\portfolio\aig_fast\tc_public_27\logs
tc_public_28,data\tc_public\tc_public_28\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_28\output.blif,results\portfolio\aig_fast\tc_public_28\output.candidate.blif,results\baseline\tc_public_28\output.blif,520,7,520,7,520,7,576,20,0,0,True,0.08328030002303421,0.08439810003619641,0.12905929994303733,10.5390625,results\portfolio\aig_fast\tc_public_28\logs
tc_public_29,data\tc_public\tc_public_29\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_29\output.blif,results\portfolio\aig_fast\tc_public_29\output.candidate.blif,results\baseline\tc_public_29\output.blif,109,7,110,7,109,7,121,8,0,0,True,0.08322320005390793,0.08139850001316518,0.1279389999108389,10.0703125,results\portfolio\aig_fast\tc_public_29\logs
tc_public_3,data\tc_public\tc_public_3\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_3\output.blif,results\portfolio\aig_fast\tc_public_3\output.candidate.blif,results\baseline\tc_public_3\output.blif,163,11,150,11,150,11,208,13,0,0,True,0.08513789996504784,0.0846906000515446,0.13252499990630895,10.41015625,results\portfolio\aig_fast\tc_public_3\logs
tc_public_30,data\tc_public\tc_public_30\input.blif,aig_fast,aig_fast,selected_candidate,,results\portfolio\aig_fast\tc_public_30\output.blif,results\portfolio\aig_fast\tc_public_30\output.candidate.blif,results\baseline\tc_public_30\output.blif,8871,22,9418,22,8871,22,14139,1036,0,0,True,0.2370486999861896,1.1634127999423072,0.16867350006941706,29.83984375,results\portfolio\aig_fast\tc_public_30\logs
tc_public_4,data\tc_public\tc_public_4\input.blif,aig_fast,baseline,fallback_baseline,candidate_metrics_worse_than_baseline,results\portfolio\aig_fast\tc_public_4\output.blif,results\portfolio\aig_fast\tc_public_4\output.candidate.blif,results\baseline\tc_public_4\output.blif,123,9,115,9,115,9,145,12,0,0,True,0.08621710003353655,0.0860238999594003,0.1274437999818474,10.37109375,results\portfolio\aig_fast\tc_public_4\logs
