case,candidate,steps,selector_reason,selected_pipeline,chosen_variant,baseline_nodes,baseline_levels,nodes_after,levels_after,node_delta,level_delta,status,cec_pass,opt_returncode,opt_timed_out,opt_error,cec_returncode,runtime_opt_sec,runtime_cec_sec,runtime_stats_sec,peak_mem_mb,input_path,baseline_path,output_path,log_dir
tc_public_26,r29_fraig_mfs_dc2_bal,fraig; mfs; dc2; balance,r25_dsd_medium_small_pi_medium_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,449,10,0,0,,,opt_failed,False,0,False,True,,0.039922,0.0,0.0,1.895,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,submit\results\final_public\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_mfs_dc2_bal\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_mfs_dc2_bal\tc_public_26
tc_public_26,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,r25_dsd_medium_small_pi_medium_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,449,10,449,10,0,0,no_node_gain,True,0,False,False,0,0.372596,0.072887,0.058344,11.91,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_26\input.blif,submit\results\final_public\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_26\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_26
tc_public_30,r29_fraig_dc2_bal,fraig; dc2; balance,r25_dsd_large_tiny_pi_small_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,392,12,381,13,-11,1,level_regression,True,0,False,False,0,0.055477,1.935154,0.054055,28.438,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,submit\results\final_public\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_dc2_bal\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_dc2_bal\tc_public_30
tc_public_30,r29_mfs_dc2_bal,mfs; dc2; balance,r25_dsd_large_tiny_pi_small_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,392,12,0,0,,,opt_failed,False,0,False,True,,0.386165,0.0,0.0,9.34,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,submit\results\final_public\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_dc2_bal\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_dc2_bal\tc_public_30
tc_public_30,r29_mfs_strash_dc2_bal,mfs; strash; dc2; balance,r25_dsd_large_tiny_pi_small_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,392,12,377,13,-15,1,level_regression,True,0,False,False,0,0.405118,1.868795,0.04017,27.406,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,submit\results\final_public\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_bal\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_bal\tc_public_30
tc_public_30,r29_mfs_strash_dc2_rwz_bal,mfs; strash; dc2; rewrite -z; balance,r25_dsd_large_tiny_pi_small_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,392,12,377,13,-15,1,level_regression,True,0,False,False,0,0.530893,1.929909,0.038923,26.957,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,submit\results\final_public\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_strash_dc2_rwz_bal\tc_public_30
tc_public_30,r29_mfs_fraig_bal,mfs; fraig; balance,r25_dsd_large_tiny_pi_small_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,392,12,386,12,-6,0,accepted,True,0,False,False,0,0.462051,2.272705,0.037461,31.402,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,submit\results\final_public\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_bal\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_bal\tc_public_30
tc_public_30,r29_mfs_fraig_dc2_bal,mfs; fraig; dc2; balance,r25_dsd_large_tiny_pi_small_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,392,12,377,13,-15,1,level_regression,True,0,False,False,0,0.394248,1.866956,0.039225,27.262,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,submit\results\final_public\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_bal\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_bal\tc_public_30
tc_public_30,r29_fraig_mfs_dc2_bal,fraig; mfs; dc2; balance,r25_dsd_large_tiny_pi_small_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,392,12,0,0,,,opt_failed,False,0,False,True,,0.038479,0.0,0.0,1.883,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,submit\results\final_public\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_mfs_dc2_bal\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_fraig_mfs_dc2_bal\tc_public_30
tc_public_30,r29_mfs_fraig_dc2_rwz_bal,mfs; fraig; dc2; rewrite -z; balance,r25_dsd_large_tiny_pi_small_po_shared,r25_dsd_dch_cleanup@inputs+r28_r27_mfs_fraig_dc2_bal,inputs,392,12,377,13,-15,1,level_regression,True,0,False,False,0,0.461502,1.866544,0.038982,27.098,C:\Users\yy257\cpipc_r28_v5_remeasure\local_data\tc_public\tc_public_30\input.blif,submit\results\final_public\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_30\output.blif,results_research\R29_postpass_matrix_v6\runs\r29_mfs_fraig_dc2_rwz_bal\tc_public_30
